Tamanho;Tempo DSATUR;DSATUR;Otimo;Networkx
986;5.95471;11;11;11
812;2.76031;11;11;11
23308;307.414;65;65;65
17382;127.729;30;30;30
17376;127.724;30;30;30
1276;3.46843;9;9;9
3256;53.6824;13;13;13
602;1.89948;11;11;11
37414;476.519;54;54;54
27958;295.589;31;31;31
27938;386.616;31;31;31
508;1.75319;10;10;10
614700;3977.27;133;0;130
16336;55.6224;17;15;17
16338;54.0724;16;15;17
33360;118.393;24;15;23
33500;122.634;24;15;24
16520;50.3363;25;25;25
16526;44.1471;25;25;25
34686;96.3081;29;25;29
34850;105.975;28;25;28
11428;56.8776;10;5;10
11468;91.3403;6;5;10
19606;178.514;7;5;11
19514;154.601;12;5;12
6432;35.2242;42;42;42
10396;110.715;73;73;73
774;2.21299;8;8;8
2340;6.31373;20;20;20
4226;15.6008;31;31;31
7850;47.76;49;49;49
7770;57.7088;31;31;31
7832;58.2828;31;31;31
7892;58.7034;31;31;31
7946;59.1819;31;31;31
40;0.113025;4;4;4
142;0.419553;5;5;5
472;2.17956;6;6;6
1510;8.51697;7;7;7
4720;44.5248;8;8;8
2940;6.94547;14;0;15
3960;8.86112;15;11;15
5192;13.1179;17;0;16
6656;15.5291;17;13;19
8372;23.3925;19;0;20
10360;24.5364;20;0;21
12640;34.9143;21;0;21
320;1.00292;5;5;5
580;1.62602;8;7;9
952;2.27531;9;7;11
2736;6.86418;14;12;14
1456;2.82751;12;9;11
2112;4.89368;12;10;13
38190;292.858;17;0;17
29224;97.1888;28;0;26
8200;73.6609;49;49;49
7082;83.2592;30;30;30
7080;83.2741;30;30;30
